Sequence Name,Data Size,Learning Time (s),Learning Time (ms),CPU Usage (%),RAM Usage (MB),Cores Used,Accuracy (%)
S10,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S11,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S12,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S13,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S14,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S15,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S16,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S17,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S18,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S19,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S20,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S21,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S22,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S23,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S24,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S25,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S26,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S27,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S28,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S29,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S30,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
